"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Amount spent (AUD)","Website purchases","Cost per purchase (AUD)","Purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (AUD)","Attribution setting",Results,"Result indicator","Cost per results","Meta purchases",ThruPlays,"3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays",profile_visit_view,"Unique link clicks","CTR (link click-through rate)","Landing page views","Adds to cart","Website adds to cart","Adds of payment info","Website adds of payment info","Checkouts Initiated","Website checkouts initiated","Website purchase ROAS (return on ad spend)",Views,"3-second video plays rate per impressions","Cost per ThruPlay (AUD)","Cost per 3-second video play (AUD)","Unique outbound clicks","Outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Cost per unique outbound click (AUD)","Cost per unique link click (AUD)","Cost per unique click (all) (AUD)","Adds of payment info conversion value","In-app adds of payment info conversion value","Website adds of payment info conversion value","Offline adds of payment info conversion value","Adds to cart conversion value","In-app adds to cart conversion value","Website adds to cart conversion value","Offline adds to cart conversion value","Cost per add of payment info (AUD)","Cost per add to cart (AUD)","Checkouts initiated conversion value","In-app checkouts initiated conversion value","Website checkouts initiated conversion value","Offline checkouts initiated conversion value","Cost per checkout initiated (AUD)","Content views","In-app content views","Website content views","Offline content views","Meta content views","Content views conversion value","In-app content views conversion value","Website content views conversion value","Offline content views conversion value","Cost per content view (AUD)","Cost per landing page view (AUD)","Orders created","Date created","Date last edited",Objective
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,Feed,In-app,"Android Smartphone",inactive,28.782167,,,,,,5,Daily,17461,1.648369,4864,3.589844,0.120268,11,1.370579,"7-day click or 1-day view",4864,reach,5.91738625,,157,432,1434,430,224,161,153,1,7405,,11,0.062998,,,,,,,,,0,2.474085,0.183326,0.066625,11,11,0.226151,0.062998,0.226151,2.616561,2.616561,1.370579,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,Feed,In-app,"Android Tablet",inactive,0.150011,,,,,,5,Daily,95,1.579066,64,1.484375,0,,0,"7-day click or 1-day view",64,reach,2.34392645,,2,4,14,4,2,2,1,1,36,,,,,,,,,,,,0,4.210526,0.075006,0.037503,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,Feed,In-app,iPad,inactive,1.20009,,,,,,5,Daily,840,1.428679,256,3.28125,0.238095,,0.600045,"7-day click or 1-day view",256,reach,4.6878529,,10,29,97,29,11,10,10,1,433,,,,,,,,,,,,0,3.452381,0.120009,0.041382,,,0,,,,,0.600045,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,Feed,In-app,iPhone,inactive,55.514179,,,,,,5,Daily,32437,1.711446,9857,3.290758,0.123316,22,1.387854,"7-day click or 1-day view",9857,reach,5.63195487,,326,936,3516,920,486,346,315,1,16233,,21,0.067824,,,,,,,,,0,2.885594,0.170289,0.05931,21,22,0.213047,0.067824,0.213047,2.643532,2.643532,1.586119,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,Feed,In-app,iPod,inactive,0,,,,,,5,Daily,2,0,0,0,0,,0,"7-day click or 1-day view",,,,,,,1,,,,,3,1,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,Feed,"Mobile web","Android Smartphone",inactive,0.420032,,,,,,5,Daily,223,1.88355,64,3.484375,0,,0,"7-day click or 1-day view",64,reach,6.56299406,,,,1,,,,,0,5,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,Feed,"Mobile web",iPhone,inactive,1.240093,,,,,,5,Daily,696,1.781743,256,2.71875,0,,0,"7-day click or 1-day view",256,reach,4.84411467,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,Feed,"Mobile web",Other,inactive,0.390029,,,,,,5,Daily,267,1.460784,64,4.171875,0,,0,"7-day click or 1-day view",64,reach,6.09420877,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"Instant article",In-app,"Android Smartphone",inactive,1.080081,,,,,,5,Daily,639,1.690268,384,1.664063,0.156495,1,1.080081,"7-day click or 1-day view",384,reach,2.81271174,,2,4,4,4,2,2,2,1,68,,1,0.156495,,,,,,,,,0,0.625978,0.540041,0.27002,1,1,0.260417,0.156495,0.260417,1.080081,1.080081,1.080081,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Reach - All Shows",Facebook,"Instant article",In-app,iPad,inactive,0.250019,,,,,,5,Daily,131,1.908541,0,0,0,,0,"7-day click or 1-day view",,,,,1,1,1,1,1,1,1,1,6,,,,,,,,,,,,0,0.763359,0.250019,0.250019,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
