"Reporting starts","Reporting ends","Campaign name",Platform,"Campaign Delivery","Amount spent (AUD)","Website purchases","Cost per purchase (AUD)","Purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (AUD)","Attribution setting",Results,"Result indicator","Cost per results","Meta purchases",ThruPlays,"3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays",profile_visit_view,"Unique link clicks","CTR (link click-through rate)","Landing page views","Adds to cart","Website adds to cart","Adds of payment info","Website adds of payment info","Checkouts Initiated","Website checkouts initiated","Website purchase ROAS (return on ad spend)",Views,"3-second video plays rate per impressions","Cost per ThruPlay (AUD)","Cost per 3-second video play (AUD)","Unique outbound clicks","Outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Cost per unique outbound click (AUD)","Cost per unique link click (AUD)","Cost per unique click (all) (AUD)","Adds of payment info conversion value","In-app adds of payment info conversion value","Website adds of payment info conversion value","Offline adds of payment info conversion value","Adds to cart conversion value","In-app adds to cart conversion value","Website adds to cart conversion value","Offline adds to cart conversion value","Cost per add of payment info (AUD)","Cost per add to cart (AUD)","Checkouts initiated conversion value","In-app checkouts initiated conversion value","Website checkouts initiated conversion value","Offline checkouts initiated conversion value","Cost per checkout initiated (AUD)","Content views","In-app content views","Website content views","Offline content views","Meta content views","Content views conversion value","In-app content views conversion value","Website content views conversion value","Offline content views conversion value","Cost per content view (AUD)","Cost per landing page view (AUD)","Orders created","Date created","Date last edited",Objective
2022-05-01,2025-05-30,"Post: ""12 tickets left for this Wednesday's incredible...""",Instagram,inactive,3.11,,,,,,10,Lifetime,78,39.871795,77,1.012987,1.282051,1,3.11,"7-day click or 1-day view",16,actions:post_engagement,0.194375,,,,,,,,,00:00:00,,,1,1.282051,,,,,,,,,0,,,,1,1,1.298701,1.282051,1.298701,3.11,3.11,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-25,2025-02-16,Engagement
2022-05-01,2025-05-30,"Retargeting - July 24",Instagram,inactive,163.319169,,,,,,400,Lifetime,14469,11.287523,5991,2.415123,1.078167,110,1.046918,"7-day click or 1-day view",,,,,1141,2092,1174,796,475,378,327,13,4652,,97,0.760246,,,,,,,,,0,14.458497,0.143137,0.078068,96,109,1.619095,0.753335,1.602404,1.701241,1.683703,1.200876,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-21,2025-02-16,Sales
2022-05-01,2025-05-30,"Post: ""12 tickets left for this Wednesday's incredible..."" – REACH",Instagram,inactive,2.83,,,,,,10,Lifetime,1116,2.535842,1111,1.0045,0,,0,"7-day click or 1-day view",1111,reach,2.54725473,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-25,2025-02-16,Reach
2022-05-01,2025-05-30,"ToneDen Campaign 672820 - Eventbrite - Magic Mic 260624",Instagram,inactive,8.418318,,,,,,"Using ad set budget",0,552,15.250576,503,1.097416,1.811594,7,0.841832,"7-day click or 1-day view",7,actions:link_click,1.20261681,,,,,,,,,00:00:00,,,7,1.268116,,,,,,,,,0,,,,7,7,1.39165,1.268116,1.39165,1.202617,1.202617,0.935369,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-24,2025-02-16,Traffic
2022-05-01,2025-05-30,"Post: ""The best comedians, the best shows, the best fun,...""",Instagram,inactive,0.73,,,,,,10,Lifetime,51,14.313725,51,1,0,,0,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-31,2025-02-16,Engagement
2022-05-01,2025-05-30,"Encore Festival: Retargeting - July 24",Instagram,inactive,420.561402,,,,,,1500,Lifetime,34566,12.16691,8093,4.271098,1.432043,369,0.849619,"7-day click or 1-day view",,,,,3834,7874,5105,3729,2849,2365,2212,10,17379,,293,1.067523,,,,,,,,,0,22.77961,0.109693,0.053411,284,368,3.620413,1.06463,3.509205,1.48085,1.435363,1.086722,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-03,2025-02-16,Sales
2022-05-01,2025-05-30,"Reach - All Shows",Instagram,inactive,1076.531042,,,,,,5,Daily,656417,1.640011,161487,4.064829,0.046921,137,3.495231,"7-day click or 1-day view",161487,reach,6.66636349,,3566,9781,35853,10063,5252,3757,3650,1,336550,,135,0.020871,,,,,,,,,0,1.490059,0.301888,0.110063,135,137,0.083598,0.020871,0.083598,7.974304,7.974304,3.624684,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-02,2023-05-12,Reach
2022-05-01,2025-05-30,"Encore Festival: Reach - July 24",Instagram,inactive,18.51,,,,,,50,Lifetime,8758,2.113496,8667,1.0105,0.239781,13,0.881429,"7-day click or 1-day view",8667,reach,2.13568709,,432,1843,748,359,237,180,161,3,8029,,13,0.148436,,,,,,,,,0,21.043617,0.042847,0.010043,13,13,0.149994,0.148436,0.149994,1.423846,1.423846,0.974211,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-10,2025-02-16,Awareness
2022-05-01,2025-05-30,"Post: ""Harry's Comedy in Surry Hills this Monday is...""",Instagram,inactive,1.67,,,,,,10,Lifetime,126,13.253968,122,1.032787,0.793651,1,1.67,"7-day click or 1-day view",16,actions:post_engagement,0.104375,,,,,,,,,00:00:00,,,1,0.793651,,,,,,,,,0,,,,1,1,0.819672,0.793651,0.819672,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-05,2025-02-16,Engagement
2022-05-01,2025-05-30,"Encore Festival: Traffic - July 24",Instagram,inactive,0.589831,,,,,,420,Lifetime,75,7.86442,75,1,9.333333,6,0.084262,"7-day click or 1-day view",,,,,17,39,16,7,6,4,4,12,75,,6,8,,,,,,,,,0,52,0.034696,0.015124,5,6,8,8,6.666667,0.117966,0.098305,0.117966,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-11,2025-02-16,Traffic
2022-05-01,2025-05-30,"Event: Harry's Comedy - Mondays",Instagram,inactive,0.39,,,,,,10,Lifetime,67,5.820896,61,1.098361,2.985075,,0.195,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-10,2025-02-16,CONVERSIONS
2022-05-01,2025-05-30,"Retargeting - July 24 - GoodChat + Steph",Instagram,inactive,114.577988,,,,,,300,Lifetime,10029,11.424667,4229,2.371483,0.468641,28,2.43783,"7-day click or 1-day view",,,,,675,1260,791,618,451,346,319,10,3060,,26,0.27919,,,,,,,,,0,12.563566,0.169745,0.090935,25,27,0.614803,0.269219,0.591156,4.58312,4.406846,2.794585,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-16,2025-02-16,Sales
2022-05-01,2025-05-30,"Reach - All Shows – Weekly Blitz",Instagram,inactive,617.00274,,,,,,850,Lifetime,290508,2.123875,115327,2.518994,0.068156,74,3.116175,"7-day click or 1-day view",115327,reach,5.35002853,,2478,6008,19319,6182,3460,2577,2517,0,203783,,74,0.025473,,,,,,,,,0,2.068101,0.248992,0.102697,74,74,0.064165,0.025473,0.064165,8.337875,8.337875,3.247383,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-18,2025-02-16,Reach
2022-05-01,2025-05-30,"Retargeting - David Rose Aug 18th 24",Instagram,inactive,54,,,,,,100,Lifetime,4290,12.587413,2996,1.431909,1.328671,31,0.947368,"7-day click or 1-day view",,,,,1022,1840,1296,1024,744,628,579,11,3944,,31,0.722611,,,,,,,,,0,42.890443,0.052838,0.029348,31,31,1.034713,0.722611,1.034713,1.741935,1.741935,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-16,2025-02-16,Sales
