"Reporting starts","Reporting ends","Campaign name","Audience segments","Campaign Delivery","Amount spent (AUD)","Website purchases","Cost per purchase (AUD)","Purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (AUD)","Attribution setting",Results,"Result indicator","Cost per results","Meta purchases",ThruPlays,"3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays",profile_visit_view,"Unique link clicks","CTR (link click-through rate)","Landing page views","Adds to cart","Website adds to cart","Adds of payment info","Website adds of payment info","Checkouts Initiated","Website checkouts initiated","Website purchase ROAS (return on ad spend)",Views,"3-second video plays rate per impressions","Cost per ThruPlay (AUD)","Cost per 3-second video play (AUD)","Unique outbound clicks","Outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Cost per unique outbound click (AUD)","Cost per unique link click (AUD)","Cost per unique click (all) (AUD)","Adds of payment info conversion value","In-app adds of payment info conversion value","Website adds of payment info conversion value","Offline adds of payment info conversion value","Adds to cart conversion value","In-app adds to cart conversion value","Website adds to cart conversion value","Offline adds to cart conversion value","Cost per add of payment info (AUD)","Cost per add to cart (AUD)","Checkouts initiated conversion value","In-app checkouts initiated conversion value","Website checkouts initiated conversion value","Offline checkouts initiated conversion value","Cost per checkout initiated (AUD)","Content views","In-app content views","Website content views","Offline content views","Meta content views","Content views conversion value","In-app content views conversion value","Website content views conversion value","Offline content views conversion value","Cost per content view (AUD)","Cost per landing page view (AUD)","Orders created","Date created","Date last edited",Objective
2025-05-27,2025-05-27,"RORY: Brisbane Sales Campaign",existing,recently_completed,1.98,,,,,,500,Lifetime,100,19.8,72,1.388889,0,2,0,"7-day click, 1-day view, or 1-day engaged-view",,,,,,25,,,,,,00:00:00,,,,2,,,,,,,,,0,25,,0.0792,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-27,2025-05-27,Sales
2025-05-27,2025-05-27,"RORY LOWE TOUR - Traffic",unknown,active,30.92,,,,,,"Using ad set budget",0,5594,5.527351,5193,1.077219,0,561,0,"7-day click or 1-day view",485,actions:landing_page_view,0.06375258,,,2206,,,,,,00:00:00,,,,10.028602,485,,,,,,,,0,39.435109,,0.014016,,,0,,,,,0,,,,,,,,,,,,,,,,443,,443,,,,,,,0.069797,0.063753,,2025-04-25,2025-05-25,Traffic
2025-05-27,2025-05-27,"RORY LOWE TOUR - SALES",prospecting,not_delivering,43.8,,,,,,"Using ad set budget",0,4566,9.592641,3927,1.16272,0,21,0,"Multiple attribution settings",,,,,,,,,,,,00:00:00,,,,0.459921,9,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,4.866667,,2025-04-25,2025-05-05,Sales
2025-05-27,2025-05-27,"RORY LOWE TOUR - SALES",existing,not_delivering,6.73,,,,,,"Using ad set budget",0,427,15.761124,250,1.708,0,5,0,"Multiple attribution settings",,,,,,,,,,,,00:00:00,,,,1.17096,5,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.346,,2025-04-25,2025-05-05,Sales
2025-05-27,2025-05-27,"Traffic - All Shows 14 Feb 25",unknown,active,21.73,,,,,,"Using ad set budget",0,2199,9.881764,1990,1.105025,0,74,0,"7-day click or 1-day view",6,actions:landing_page_view,3.62166667,,,296,,,,,,00:00:00,,,,3.365166,6,,,,,,,,0,13.460664,,0.073412,,,0,,,,,0,,,,,,,,,,,,,,,,3,,3,,,,,,,7.243333,3.621667,,2025-02-14,2025-05-07,Traffic
2025-05-26,2025-05-26,"RORY LOWE TOUR - Traffic",unknown,active,47.29,,,,,,"Using ad set budget",0,7963,5.938717,7029,1.132878,0,663,0,"7-day click or 1-day view",549,actions:landing_page_view,0.08613843,,,2848,,,,,,00:00:00,,,,8.326008,549,,,,,,,,0,35.765415,,0.016605,,,0,,,,,0,,,,,,,,,,,,,,,,322,,322,,,,,,,0.146863,0.086138,,2025-04-25,2025-05-25,Traffic
2025-05-26,2025-05-26,"RORY LOWE TOUR - SALES",prospecting,not_delivering,68.92,,,,,,"Using ad set budget",0,6623,10.40616,5279,1.254594,0,32,0,"Multiple attribution settings",,,,,,,,,,,,00:00:00,,,,0.483165,20,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,3.446,,2025-04-25,2025-05-05,Sales
2025-05-26,2025-05-26,"RORY LOWE TOUR - SALES",existing,not_delivering,12.3,,,,,,"Using ad set budget",0,657,18.721461,298,2.204698,0,4,0,"Multiple attribution settings",,,,,,,,,,,,00:00:00,,,,0.608828,1,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,,2025-04-25,2025-05-05,Sales
2025-05-26,2025-05-26,"Traffic - All Shows 14 Feb 25",unknown,active,23.27,1,23.27,1.005587,23.4,23.4,"Using ad set budget",0,2296,10.135017,2044,1.123288,0,69,0,"7-day click or 1-day view",7,actions:landing_page_view,3.32428571,,,309,,,,,,00:00:00,,,,3.005226,7,,,,,1,1,1.005587,0,13.458188,,0.075307,,,0,,,,,0,,,,,,,,,,,23.4,,23.4,,23.27,3,,3,,,,,,,7.756667,3.324286,,2025-02-14,2025-05-07,Traffic
2025-05-25,2025-05-25,"RORY LOWE TOUR - Traffic",unknown,active,29.71,,,,,,"Using ad set budget",0,4540,6.544053,4053,1.120158,0,320,0,"7-day click or 1-day view",268,actions:landing_page_view,0.11085821,,,1558,,,,,,00:00:00,,,,7.048458,268,,,,,,,,0,34.317181,,0.019069,,,0,,,,,0,,,,,,,,,,,,,,,,148,,148,,,,,,,0.200743,0.110858,,2025-04-25,2025-05-25,Traffic
