"Reporting starts","Reporting ends","Ad Set Name","Time of day (ad account time zone)","Ad set delivery","Amount spent (AUD)","Website purchases","Cost per purchase (AUD)","Purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (AUD)","Attribution setting",Results,"Result indicator","Cost per results","Meta purchases",ThruPlays,"3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays",profile_visit_view,"Unique link clicks","CTR (link click-through rate)","Landing page views","Adds to cart","Website adds to cart","Adds of payment info","Website adds of payment info","Checkouts Initiated","Website checkouts initiated","Website purchase ROAS (return on ad spend)",Views,"3-second video plays rate per impressions","Cost per ThruPlay (AUD)","Cost per 3-second video play (AUD)","Unique outbound clicks","Outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Cost per unique outbound click (AUD)","Cost per unique link click (AUD)","Cost per unique click (all) (AUD)","Adds of payment info conversion value","In-app adds of payment info conversion value","Website adds of payment info conversion value","Offline adds of payment info conversion value","Adds to cart conversion value","In-app adds to cart conversion value","Website adds to cart conversion value","Offline adds to cart conversion value","Cost per add of payment info (AUD)","Cost per add to cart (AUD)","Checkouts initiated conversion value","In-app checkouts initiated conversion value","Website checkouts initiated conversion value","Offline checkouts initiated conversion value","Cost per checkout initiated (AUD)","Content views","In-app content views","Website content views","Offline content views","Meta content views","Content views conversion value","In-app content views conversion value","Website content views conversion value","Offline content views conversion value","Cost per content view (AUD)","Cost per landing page view (AUD)","Orders created","Date created","Date last edited",custom_audiences,"Optimization events","Optimization Event Indicator","Optimization event conversion window"
2022-05-01,2025-06-01,"Rory: Sydney Traffic","00:00:00 - 00:59:59",completed,7.690999,,,,,,10,Daily,1146,6.711168,0,0,10.732984,108,0.062528,"7-day click or 1-day view",90,actions:landing_page_view,0.08545554,,,485,,,,,,00:00:00,,,,9.424084,90,,,,,,,,0,42.321117,,0.015858,,108,0,9.424084,,,,0,,,,,,,,,,,,,,,,,,31,,,,,,,,0.085456,,2025-04-25,2025-05-15,,90,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"Lookalike of iD Comedy Club Instagram Engagers","00:00:00 - 00:59:59",not_delivering,0.06,,,,,,11.51,Lifetime,6,10,0,0,0,,0,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-24,2025-01-16,,,,
2022-05-01,2025-06-01,"Harrys Comedy","00:00:00 - 00:59:59",inactive,2.18,,,,,,"Using campaign budget",0,631,3.454834,0,0,0,,0,"7-day click or 1-day view",,,,,,30,,,,,,00:00:00,,,,,,,,,,,,,0,4.754358,,0.072667,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-18,2023-06-12,,,,
2022-05-01,2025-06-01,"SYD: Rory Event Response Ad","00:00:00 - 00:59:59",not_delivering,0.63,,,,,,5,Daily,70,9,0,0,15.714286,,0.057273,"7-day click or 1-day view",1,actions:rsvp,0.63,,,42,,,,,,00:00:00,,,,,,,,,,,,,0,60,,0.015,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-02,2025-05-02,,1,actions:rsvp,"1-day click"
2022-05-01,2025-06-01,"Eventbrite Grouped Remarketing Audience","00:00:00 - 00:59:59",inactive,0.55,,,,,,8.84,Lifetime,46,11.956522,0,0,0,,0,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-24,2024-06-26,,,,
2022-05-01,2025-06-01,"Magic Mic Comedy","00:00:00 - 00:59:59",not_delivering,9.88,,,,,,"Using campaign budget",0,4266,2.315987,0,0,0.093765,1,2.47,"7-day click or 1-day view",,,,,,145,,,,,,00:00:00,,,,0.023441,1,,,,,,,,0,3.398969,,0.068138,,1,0,0.023441,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,9.88,,2022-07-18,2023-06-12,,,,
2022-05-01,2025-06-01,"BRISBANE: Rory Lowe Traffic","00:00:00 - 00:59:59",inactive,6.62429,,,,,,10,Daily,1000,6.62429,0,0,9.8,89,0.067595,"7-day click or 1-day view",66,actions:landing_page_view,0.10036803,,,371,,,,,,00:00:00,,,,8.9,66,,,,,,,,0,37.1,,0.017855,,89,0,8.9,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.100368,,2025-05-05,2025-05-27,,66,actions:landing_page_view,"1-day click"
2022-05-01,2025-06-01,"Facebook Grouped Remarketing Audience","00:00:00 - 00:59:59",not_delivering,0.169817,,,,,,12.48,Lifetime,20,8.490841,0,0,5,1,0.169817,"7-day click or 1-day view",1,actions:link_click,0.16981681,,,,,,,,,00:00:00,,,,5,,,,,,,,,0,,,,,1,0,5,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-24,2025-01-16,,1,actions:link_click,"1-day click"
2022-05-01,2025-06-01,"iD Comedy Club","00:00:00 - 00:59:59",inactive,5.039745,,,,,,"Using campaign budget",0,3300,1.527195,0,0,0.121212,,1.259936,"7-day click or 1-day view",,,,,,38,,,,,,00:00:00,,,,,,,,,,,,,0,1.151515,,0.132625,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-18,2022-11-29,,,,
2022-05-01,2025-06-01,"PERTH: Rory Lowe Traffic","00:00:00 - 00:59:59",active,7.841211,,,,,,5,Daily,1262,6.213321,0,0,11.489699,123,0.054077,"7-day click or 1-day view",95,actions:landing_page_view,0.08253906,,,452,,,,,,00:00:00,,,,9.746434,95,,,,,,,,0,35.816165,,0.017348,,123,0,9.746434,,,,0,,,,,,,,,,,,,,,,,,97,,,,,,,,0.082539,,2025-05-05,2025-05-22,,95,actions:landing_page_view,"1-day click"
