"Reporting starts","Reporting ends","Campaign name","Campaign Delivery","Amount spent (AUD)","Website purchases","Cost per purchase (AUD)","Purchase ROAS (return on ad spend)","Purchases conversion value","Website purchases conversion value","Ad set budget","Ad set budget type",Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,"CTR (all)","Link clicks","CPC (all) (AUD)","Attribution setting",Results,"Result indicator","Cost per results","Meta purchases",ThruPlays,"3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Video plays",profile_visit_view,"Unique link clicks","CTR (link click-through rate)","Landing page views","Adds to cart","Website adds to cart","Adds of payment info","Website adds of payment info","Checkouts Initiated","Website checkouts initiated","Website purchase ROAS (return on ad spend)",Views,"3-second video plays rate per impressions","Cost per ThruPlay (AUD)","Cost per 3-second video play (AUD)","Unique outbound clicks","Outbound clicks","Unique CTR (link click-through rate)","Outbound CTR (click-through rate)","Unique outbound CTR (click-through rate)","Cost per unique outbound click (AUD)","Cost per unique link click (AUD)","Cost per unique click (all) (AUD)","Adds of payment info conversion value","In-app adds of payment info conversion value","Website adds of payment info conversion value","Offline adds of payment info conversion value","Adds to cart conversion value","In-app adds to cart conversion value","Website adds to cart conversion value","Offline adds to cart conversion value","Cost per add of payment info (AUD)","Cost per add to cart (AUD)","Checkouts initiated conversion value","In-app checkouts initiated conversion value","Website checkouts initiated conversion value","Offline checkouts initiated conversion value","Cost per checkout initiated (AUD)","Content views","In-app content views","Website content views","Offline content views","Meta content views","Content views conversion value","In-app content views conversion value","Website content views conversion value","Offline content views conversion value","Cost per content view (AUD)","Cost per landing page view (AUD)","Orders created","Date created","Date last edited",Objective
2022-05-01,2025-05-31,"Event: Harry's Comedy - Mondays",inactive,9.96,,,,,,10,Lifetime,792,12.575758,621,1.275362,2.39899,3,0.524211,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,3,0.378788,,,,,,,,,0,,,,,,0.483092,,,,3.32,0.553333,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-10,2025-02-16,CONVERSIONS
2022-05-01,2025-05-31,"Rory Sydney Event Response Ads",inactive,20.76,,,,,,"Using ad set budget",0,2287,9.077394,1458,1.568587,9.838216,11,0.092267,"7-day click or 1-day view",17,actions:rsvp,1.22117647,,515,959,515,345,263,225,216,15,1920,,11,0.480979,,,,,,,,,2459,41.932663,0.040311,0.021648,,,0.754458,,,,1.887273,0.114696,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-02,2025-05-06,Engagement
2022-05-01,2025-05-31,"Event: Dark Jokes Night (Halloween)",inactive,20,,,,,,20,Lifetime,1275,15.686275,757,1.68428,4.705882,13,0.333333,"7-day click or 1-day view",,,,,,,,,,,,00:00:00,,,13,1.019608,4,,,,,,,,0,,,,,,1.717305,,,,1.538462,0.416667,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2022-10-25,2025-02-16,CONVERSIONS
2022-05-01,2025-05-31,"Steph Link Click Campaign",inactive,105.56,,,,,,"Using ad set budget",0,11728,9.000682,9413,1.245936,6.949181,534,0.129521,"7-day click or 1-day view",534,actions:link_click,0.1976779,,1093,2826,1270,1005,837,757,719,7,8908,,494,4.553206,,,,,,,,,0,24.09618,0.096578,0.037353,484,534,5.248061,4.553206,5.141825,0.218099,0.213684,0.155235,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-30,2023-04-04,Traffic
2022-05-01,2025-05-31,"Retargetting - All Shows May23",inactive,2266.92,227,9.986432,1.859894,4216.23,4216.23,15,Daily,155117,14.614259,6923,22.406038,0.542816,429,2.692304,"1-day click or 1-day view",227,actions:offsite_conversion.fb_pixel_purchase,9.98643172,,847,7422,5308,2149,1130,774,730,2,43905,,332,0.276565,233,151,151,,,239,239,1.859894,0,4.784775,2.676411,0.305433,328,422,4.795609,0.272053,4.73783,6.911341,6.828072,4.055313,,,,,995,,995,,,15.012715,9963.89,,9963.89,,9.485021,1198,,1198,,,150,,150,,1.892254,9.72927,,2023-05-15,2023-10-12,Sales
2022-05-01,2025-05-31,"LPviews 1%Lookalike - All Shows May23",inactive,1146.52,,,,,,10,Daily,130217,8.804688,39131,3.32772,3.035702,3617,0.290038,"7-day click or 1-day view",2017,actions:landing_page_view,0.56842836,,1695,5379,4059,2315,1778,435,420,5,12083,,2759,2.777671,2017,,,,,,,,0,4.130797,0.676413,0.213147,2796,3617,7.050676,2.777671,7.14523,0.410057,0.415556,0.392778,,,,,,,,,,,,,,,,,,,,,,,,,,0.568428,,2023-05-25,2023-10-03,Traffic
2022-05-01,2025-05-31,"Traffic - All Shows 14 Feb 25",active,2199.48,3,733.16,0.053354,117.35,117.35,"Using ad set budget",0,205938,10.680302,87801,2.345509,4.992765,7336,0.213916,"7-day click or 1-day view",3026,actions:landing_page_view,0.72686054,,4577,26290,16469,7842,4694,3402,3149,3,83256,,5556,3.562237,3026,,,4,4,4,4,0.053354,134239,12.765978,0.480551,0.083662,5655,7335,6.327946,3.561752,6.440701,0.388944,0.395875,0.312915,,,,,,,,,549.87,,132.32,,132.32,,549.87,69,,69,,,50,,50,,31.876522,0.726861,,2025-02-14,2025-05-07,Traffic
2022-05-01,2025-05-31,"Traffic 1%Lookalike - All Shows May23",inactive,80.28,,,,,,7.55,Daily,9468,8.479087,6324,1.497154,4.076891,372,0.207979,"7-day click or 1-day view",372,actions:link_click,0.21580645,,47,415,291,122,69,42,40,3,1028,,347,3.929024,77,,,,,,,,0,4.383185,1.708085,0.193446,346,372,5.487034,3.929024,5.471221,0.232023,0.231354,0.222382,,,,,,,,,,,,,,,,,,,,,,,,,,1.042597,,2023-05-15,2023-05-25,Traffic
2022-05-01,2025-05-31,"RORY LOWE TOUR - Traffic",active,1054.88,5,210.976,0.401657,423.7,423.7,"Using ad set budget",0,173955,6.064097,80442,2.16249,10.195165,15323,0.05948,"7-day click or 1-day view",12112,actions:landing_page_view,0.08709379,,28042,60765,28125,20248,16429,13865,12901,12,143497,,11516,8.8086,12112,,,,,4,4,0.401657,175359,34.931448,0.037618,0.01736,10829,15323,14.315905,8.8086,13.461873,0.097413,0.091601,0.084411,,,,,,,,,,,345.33,,345.33,,263.72,6784,,6784,,,,,,,0.155495,0.087094,,2025-04-25,2025-05-25,Traffic
2022-05-01,2025-05-31,"Reach - All Shows – Weekly Blitz",inactive,849.87,3,283.29,0.178921,152.06,152.06,850,Lifetime,389530,2.181783,153194,2.542724,0.076502,138,2.851913,"7-day click or 1-day view",153194,reach,5.54767158,,4080,10832,35090,11010,5961,4307,4088,1,255183,,137,0.035427,6,,,,,3,3,0.178921,0,2.780787,0.208301,0.078459,137,138,0.089429,0.035427,0.089429,6.203431,6.203431,2.950938,,,,,,,,,,,234.44,,234.44,,283.29,16,,16,,,,,,,53.116875,141.645,,2022-07-18,2025-02-16,Reach
