Reporting starts,Reporting ends,Ad Set Name,Audience segments,Ad set delivery,Amount spent (AUD),Website purchases,Cost per purchase (AUD),Purchase ROAS (return on ad spend),Purchases conversion value,Website purchases conversion value,Ad set budget,Ad set budget type,Impressions,"CPM (cost per 1,000 impressions) (AUD)",Reach,Frequency,CTR (all),Link clicks,CPC (all) (AUD),Attribution setting,Results,Result indicator,Cost per results,Meta purchases,ThruPlays,3-second video plays,Video plays at 25%,Video plays at 50%,Video plays at 75%,Video plays at 95%,Video plays at 100%,Video average play time,Video plays,profile_visit_view,Unique link clicks,CTR (link click-through rate),Landing page views,Adds to cart,Website adds to cart,Adds of payment info,Website adds of payment info,Checkouts Initiated,Website checkouts initiated,Website purchase ROAS (return on ad spend),Views,3-second video plays rate per impressions,Cost per ThruPlay (AUD),Cost per 3-second video play (AUD),Unique outbound clicks,Outbound clicks,Unique CTR (link click-through rate),Outbound CTR (click-through rate),Unique outbound CTR (click-through rate),Cost per unique outbound click (AUD),Cost per unique link click (AUD),Cost per unique click (all) (AUD),Adds of payment info conversion value,In-app adds of payment info conversion value,Website adds of payment info conversion value,Offline adds of payment info conversion value,Adds to cart conversion value,In-app adds to cart conversion value,Website adds to cart conversion value,Offline adds to cart conversion value,Cost per add of payment info (AUD),Cost per add to cart (AUD),Checkouts initiated conversion value,In-app checkouts initiated conversion value,Website checkouts initiated conversion value,Offline checkouts initiated conversion value,Cost per checkout initiated (AUD),Content views,In-app content views,Website content views,Offline content views,Meta content views,Content views conversion value,In-app content views conversion value,Website content views conversion value,Offline content views conversion value,Cost per content view (AUD),Cost per landing page view (AUD),Orders created,Date created,Date last edited,custom_audiences,Optimization events,Optimization Event Indicator,Optimization event conversion window
29/05/2025,29/05/2025,Rory: Canberra Sales,prospecting,active,89.54,1,89.54,0.864865,77.44,77.44,Using campaign budget,0,5770,15.518198,4880,1.182377,0,130,0,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,89.54,,,1989,,,,,,0:00:00,,,,2.253033,98,7,7,,,7,7,0.864865,0,34.471404,,0.045018,,,0,,,,,0,,,,,528,,528,,,12.791429,528,,528,,12.791429,132,,132,,,,,,,0.678333,0.913673,,28/05/2025,28/05/2025,,1,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 7-day click"
29/05/2025,29/05/2025,Rory: Canberra Sales,existing,active,5.35,,,,,,Using campaign budget,0,198,27.020202,72,2.75,0,6,0,"7-day click, 1-day view, or 1-day engaged-view",,,,,,47,,,,,,0:00:00,,,,3.030303,6,,,,,,,,0,23.737374,,0.11383,,,0,,,,,0,,,,,,,,,,,,,,,,6,,6,,,,,,,0.891667,0.891667,,28/05/2025,28/05/2025,,,,
29/05/2025,29/05/2025,Rory: Brisbane Sales,prospecting,recently_completed,134.93,5,26.986,2.07515,280,280,Using campaign budget,0,9228,14.621803,6548,1.409285,0,198,0,"7-day click, 1-day view, or 1-day engaged-view",5,actions:offsite_conversion.fb_pixel_purchase,26.986,,,3713,,,,,,0:00:00,,,,2.145644,102,,,,,,,2.07515,0,40.236238,,0.03634,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.322843,,27/05/2025,27/05/2025,,5,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 7-day click"
29/05/2025,29/05/2025,Rory: Brisbane Sales,existing,recently_completed,23.8,1,23.8,4.411765,105,105,Using campaign budget,0,633,37.598736,212,2.985849,0,16,0,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_purchase,23.8,,,154,,,,,,0:00:00,,,,2.527646,12,,,,,,,4.411765,0,24.328594,,0.154545,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.983333,,27/05/2025,27/05/2025,,1,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 7-day click"
29/05/2025,29/05/2025,MANDURAH: Rory Lowe Traffic,unknown,active,5.1,,,,,,5,Daily,657,7.762557,597,1.100503,0,34,0,7-day click or 1-day view,25,actions:landing_page_view,0.204,,,145,,,,,,0:00:00,,,,5.175038,25,,,,,,,,0,22.070015,,0.035172,,,0,,,,,0,,,,,,,,,,,,,,,,25,,25,,,,,,,0.204,0.204,,5/05/2025,22/05/2025,,25,actions:landing_page_view,1-day click
29/05/2025,29/05/2025,NEWCASTLE: Rory Lowe Traffic,unknown,active,4.57,,,,,,5,Daily,788,5.799492,728,1.082418,0,75,0,7-day click or 1-day view,61,actions:landing_page_view,0.07491803,,,253,,,,,,0:00:00,,,,9.517767,61,,,,,,,,0,32.106599,,0.018063,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.074918,,5/05/2025,22/05/2025,,61,actions:landing_page_view,1-day click
29/05/2025,29/05/2025,PERTH: Rory Lowe Traffic,unknown,active,8.7,,,,,,5,Daily,1337,6.507105,1223,1.093213,0,101,0,7-day click or 1-day view,82,actions:landing_page_view,0.10609756,,,454,,,,,,0:00:00,,,,7.554226,82,,,,,,,,0,33.956619,,0.019163,,,0,,,,,0,,,,,,,,,,,,,,,,83,,83,,,,,,,0.104819,0.106098,,5/05/2025,22/05/2025,,82,actions:landing_page_view,1-day click
29/05/2025,29/05/2025,ALL SHOWS Flexible Creative TRAFFIC,unknown,active,19.84,,,,,,22,Daily,1531,12.95885,1438,1.064673,0,35,0,7-day click or 1-day view,5,actions:landing_page_view,3.968,,,279,,,,,,0:00:00,,,,2.286088,5,,,,,,,,0,18.223383,,0.071111,,,0,,,,,0,,,,,,,,,,,,,,,,3,,3,,,,,,,6.613333,3.968,,14/02/2025,22/05/2025,,5,actions:landing_page_view,1-day click
28/05/2025,28/05/2025,Rory: Canberra Sales,prospecting,active,73,3,24.333333,3.123151,227.99,227.99,Using campaign budget,0,5295,13.786591,3920,1.350765,0,123,0,"7-day click, 1-day view, or 1-day engaged-view",3,actions:offsite_conversion.fb_pixel_purchase,24.33333333,,,1678,,,,,,0:00:00,,,,2.322946,89,6,6,,,6,6,3.123151,0,31.690274,,0.043504,,,0,,,,,0,,,,,387.2,,387.2,,,12.166667,387.2,,387.2,,12.166667,124,,124,,,,,,,0.58871,0.820225,,28/05/2025,28/05/2025,,3,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 7-day click"
28/05/2025,28/05/2025,Rory: Canberra Sales,existing,active,7.54,,,,,,Using campaign budget,0,282,26.737589,106,2.660377,0,12,0,"7-day click, 1-day view, or 1-day engaged-view",,,,,,78,,,,,,0:00:00,,,,4.255319,10,,,,,,,,0,27.659574,,0.096667,,,0,,,,,0,,,,,,,,,,,,,,,,17,,17,,,,,,,0.443529,0.754,,28/05/2025,28/05/2025,,,,
